TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_daily_quiz	language_id	int	int	NO	MUL	NULL
tbl_daily_quiz	questions_id	text	text	NO		NULL
tbl_daily_quiz	date_published	date	date	NO		NULL
tbl_daily_quiz_user	id	int	int	NO	PRI	NULL
tbl_daily_quiz_user	user_id	int	int	NO		NULL
tbl_daily_quiz_user	date	date	date	NO		NULL
tbl_exam_module	id	int	int	NO	PRI	NULL
tbl_exam_module	language_id	int	int	NO	MUL	0
tbl_exam_module	title	text	text	NO		NULL
tbl_exam_module	date	date	date	NO		NULL
tbl_exam_module	exam_key	varchar	varchar(100)	NO		NULL
tbl_exam_module	duration	int	int	NO		NULL
tbl_exam_module	status	int	int	NO		0
tbl_exam_module	answer_again	int	int	NO		NULL
tbl_exam_module_question	id	int	int	NO	PRI	NULL
tbl_exam_module_question	exam_module_id	int	int	NO	MUL	NULL
tbl_exam_module_question	image	varchar	varchar(512)	NO		NULL
tbl_exam_module_question	marks	int	int	NO		NULL
tbl_exam_module_question	question	text	text	NO		NULL
tbl_exam_module_question	question_type	tinyint	tinyint	NO		NULL
tbl_exam_module_question	optiona	text	text	NO		NULL
tbl_exam_module_question	optionb	text	text	NO		NULL
tbl_exam_module_question	optionc	text	text	NO		NULL
tbl_exam_module_question	optiond	text	text	NO		NULL
tbl_exam_module_question	optione	text	text	YES		NULL
tbl_exam_module_question	answer	text	text	NO		NULL
tbl_exam_module_result	id	int	int	NO	PRI	NULL
tbl_exam_module_result	exam_module_id	int	int	NO	MUL	NULL
tbl_exam_module_result	user_id	int	int	NO	MUL	NULL
tbl_exam_module_result	obtained_marks	varchar	varchar(200)	NO		NULL
tbl_exam_module_result	total_duration	varchar	varchar(20)	NO		NULL
tbl_exam_module_result	statistics	longtext	longtext	NO		NULL
tbl_exam_module_result	status	int	int	NO		NULL
tbl_exam_module_result	rules_violated	tinyint	tinyint	NO		NULL
tbl_exam_module_result	captured_question_ids	text	text	NO		NULL
tbl_fun_n_learn	id	int	int	NO	PRI	NULL
tbl_fun_n_learn	language_id	int	int	NO		0
tbl_fun_n_learn	category	int	int	NO	MUL	NULL
tbl_fun_n_learn	subcategory	int	int	NO	MUL	NULL
tbl_fun_n_learn	title	text	text	NO		NULL
tbl_fun_n_learn	detail	longtext	longtext	NO		NULL
tbl_fun_n_learn	status	int	int	NO		0
tbl_fun_n_learn	content_type	tinyint	tinyint	NO		0
tbl_fun_n_learn	content_data	varchar	varchar(255)	NO		NULL
tbl_fun_n_learn_question	id	int	int	NO	PRI	NULL
tbl_fun_n_learn_question	fun_n_learn_id	int	int	NO	MUL	NULL
tbl_fun_n_learn_question	question	text	text	NO		NULL
tbl_fun_n_learn_question	question_type	int	int	NO		NULL
tbl_fun_n_learn_question	optiona	text	text	NO		NULL
tbl_fun_n_learn_question	optionb	text	text	NO		NULL
tbl_fun_n_learn_question	optionc	text	text	NO		NULL
tbl_fun_n_learn_question	optiond	text	text	NO		NULL
tbl_fun_n_learn_question	optione	text	text	NO		NULL
tbl_fun_n_learn_question	answer	varchar	varchar(12)	NO		NULL
tbl_fun_n_learn_question	image	varchar	varchar(250)	NO		NULL
tbl_guess_the_word	id	int	int	NO	PRI	NULL
tbl_guess_the_word	language_id	int	int	NO		NULL
tbl_guess_the_word	category	int	int	NO	MUL	NULL
tbl_guess_the_word	subcategory	int	int	NO	MUL	NULL
tbl_guess_the_word	image	text	text	NO		NULL
tbl_guess_the_word	question	text	text	NO		NULL
tbl_guess_the_word	answer	text	text	NO		NULL
tbl_languages	id	int	int	NO	PRI	NULL
tbl_languages	language	varchar	varchar(64)	NO		NULL
tbl_languages	code	varchar	varchar(11)	NO		NULL
tbl_languages	status	tinyint	tinyint	NO		0
tbl_languages	type	tinyint	tinyint	NO		0
tbl_languages	default_active	tinyint	tinyint	NO		0
tbl_leaderboard_daily	id	int	int	NO	PRI	NULL
tbl_leaderboard_daily	user_id	int	int	NO	MUL	NULL
tbl_leaderboard_daily	score	int	int	NO		NULL
tbl_leaderboard_daily	date_created	datetime	datetime	NO		NULL
tbl_leaderboard_monthly	id	int	int	NO	PRI	NULL
tbl_leaderboard_monthly	user_id	int	int	NO	MUL	NULL
tbl_leaderboard_monthly	score	int	int	NO		NULL
tbl_leaderboard_monthly	last_updated	datetime	datetime	NO		NULL
tbl_leaderboard_monthly	date_created	datetime	datetime	NO		NULL
tbl_level	id	int	int	NO	PRI	NULL
